"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ..., 
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ..., 
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ..., 
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ..., 
 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ..., 
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ..., 
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ..., 
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",1
"[[[214 212 209]
  [151 147 142]
  [155 152 147]
  ..., 
  [223 217 213]
  [227 220 217]
  [238 237 236]]

 [[182 178 173]
  [162 155 146]
  [169 158 144]
  ..., 
  [229 222 219]
  [234 227 224]
  [238 236 235]]

 [[190 186 177]
  [175 166 156]
  [175 168 159]
  ..., 
  [240 233 230]
  [243 236 233]
  [243 241 240]]

 ..., 
 [[177 186 192]
  [139 154 170]
  [145 158 172]
  ..., 
  [126 129 134]
  [126 129 134]
  [156 158 159]]

 [[174 179 182]
  [142 156 172]
  [153 166 177]
  ..., 
  [122 126 131]
  [117 121 127]
  [142 142 142]]

 [[255 252 254]
  [249 247 252]
  [248 249 248]
  ..., 
  [247 249 250]
  [247 249 250]
  [251 251 251]]]",1
"[[[181 179 176]
  [175 186 193]
  [176 171 136]
  ..., 
  [185 171  98]
  [186 174 135]
  [181 174 141]]

 [[177 171 160]
  [184 184 174]
  [187 187 168]
  ..., 
  [187 171 118]
  [183 166 116]
  [175 161 100]]

 [[171 160  96]
  [177 168  98]
  [187 172 104]
  ..., 
  [185 178 105]
  [180 172 105]
  [180 174  82]]

 ..., 
 [[ 43  41  41]
  [ 55  53  53]
  [ 50  46  35]
  ..., 
  [110  94  86]
  [ 96  82  71]
  [ 97  83  72]]

 [[ 38  35  29]
  [ 43  39  34]
  [ 50  44  39]
  ..., 
  [121 103 100]
  [104  92  86]
  [ 92  81  75]]

 [[ 41  36  33]
  [ 52  47  43]
  [ 61  58  59]
  ..., 
  [ 89  74  58]
  [ 93  77  65]
  [ 86  70  58]]]",1
"[[[ 45  95 153]
  [ 49 100 158]
  [ 63 117 178]
  ..., 
  [ 36  67 119]
  [ 40  76 134]
  [ 47  83 128]]

 [[ 46 100 157]
  [ 52 107 163]
  [ 56 110 171]
  ..., 
  [ 40  90 147]
  [ 56  95 166]
  [ 49  93 135]]

 [[ 55 112 168]
  [ 62 118 174]
  [ 67 121 182]
  ..., 
  [ 59  98 157]
  [ 36  88 136]
  [ 54  97 160]]

 ..., 
 [[ 65  59  60]
  [ 60  55  55]
  [ 56  50  51]
  ..., 
  [ 64  58  59]
  [ 50  44  45]
  [ 50  44  45]]

 [[ 54  48  49]
  [ 57  51  52]
  [ 46  40  41]
  ..., 
  [ 43  37  38]
  [ 39  33  34]
  [ 42  37  37]]

 [[ 41  35  36]
  [ 38  32  33]
  [ 35  29  30]
  ..., 
  [ 34  28  29]
  [ 30  24  25]
  [ 29  24  25]]]",1
"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ..., 
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ..., 
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ..., 
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ..., 
 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ..., 
  [216 216 216]
  [240 240 240]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ..., 
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ..., 
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",1
"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ..., 
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ..., 
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ..., 
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ..., 
 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ..., 
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ..., 
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ..., 
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",1
"[[[246 183  45]
  [246 176  58]
  [246 175  61]
  ..., 
  [234 164  73]
  [238 167  80]
  [236 166  75]]

 [[247 175  64]
  [246 174  63]
  [248 172  71]
  ..., 
  [237 163  68]
  [233 164  73]
  [232 163  73]]

 [[248 172  72]
  [248 173  70]
  [249 175  69]
  ..., 
  [236 175 100]
  [234 168  84]
  [230 168  95]]

 ..., 
 [[150 167 176]
  [160 177 190]
  [166 183 196]
  ..., 
  [148 170 188]
  [145 172 192]
  [141 171 190]]

 [[158 175 186]
  [155 172 184]
  [164 180 191]
  ..., 
  [137 165 183]
  [136 167 191]
  [150 181 204]]

 [[154 171 184]
  [154 170 182]
  [160 177 186]
  ..., 
  [128 155 176]
  [118 145 165]
  [155 186 209]]]",1
"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ..., 
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ..., 
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ..., 
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ..., 
 [[242 240 245]
  [215 213 219]
  [215 211 222]
  ..., 
  [235 236 235]
  [243 243 243]
  [244 244 244]]

 [[242 243 242]
  [233 233 233]
  [234 233 234]
  ..., 
  [249 250 249]
  [252 252 252]
  [252 252 252]]

 [[252 252 252]
  [251 251 251]
  [252 252 252]
  ..., 
  [254 254 254]
  [255 255 255]
  [255 255 255]]]",1
"[[[155  96  54]
  [173 121  78]
  [191 133  81]
  ..., 
  [209 168 113]
  [202 156  96]
  [182 123  78]]

 [[152  96  60]
  [169 119  82]
  [178 128  92]
  ..., 
  [215 168 114]
  [212 161 102]
  [188 132  80]]

 [[141  99  83]
  [127  92  75]
  [120  81  66]
  ..., 
  [169 129  84]
  [178 134  84]
  [136  94  48]]

 ..., 
 [[ 77  40  25]
  [ 83  45  31]
  [ 85  47  33]
  ..., 
  [108  73  50]
  [ 94  68  50]
  [ 91  67  49]]

 [[ 96  55  34]
  [102  58  42]
  [105  62  46]
  ..., 
  [130  91  64]
  [117  83  57]
  [ 99  79  57]]

 [[ 99  58  35]
  [106  63  46]
  [107  66  51]
  ..., 
  [141 103  75]
  [138  99  71]
  [117  86  63]]]",1
"[[[200 163 128]
  [203 169 133]
  [208 174 138]
  ..., 
  [254 254 254]
  [254 254 254]
  [254 254 254]]

 [[208 179 144]
  [213 185 150]
  [216 188 152]
  ..., 
  [254 254 254]
  [254 254 254]
  [254 254 254]]

 [[220 192 157]
  [224 196 161]
  [228 200 165]
  ..., 
  [254 254 254]
  [254 254 254]
  [254 254 254]]

 ..., 
 [[122  64  40]
  [ 91  61  34]
  [104  84  57]
  ..., 
  [137 140 128]
  [147 144 134]
  [140 140 128]]

 [[105  85  57]
  [102  79  54]
  [160 148 130]
  ..., 
  [136 132 121]
  [131 131 115]
  [133 132 119]]

 [[140 129 111]
  [129 120 101]
  [114 107  88]
  ..., 
  [117 118 106]
  [115 119 108]
  [118 126 117]]]",0
